displayName,service,filter,description,weightedKeywords,folderName,serviceIcon,serviceOrder,filterIcon,filterOrder
Allow External Sharing for Specific SPO Sites,SharePoint & OneDrive,Management & Automation,"This PowerShell script enables ""Anyone"" (external) sharing for specific SharePoint Online sites. It can allow external sharing for one or many sites while restricting the rest, and logs every change applied.",external sharing:10;enable external sharing:9;anyone links:8;guest access:8;site sharing settings:8;SharePoint site sharing:7;allow sharing specific sites:7;restrict sharing:6;sharing policy:6;site collection:5,Allow External Sharing for Specific SPO Sites,m365-icon-sharepoint svg-icon,4,custom-icon-gear-refresh-arrow-medium,3
Anonymous Link Activity Report,SharePoint & OneDrive,Auditing,"This PowerShell script audits all the anonymous link activities such as link creation, updation, removal, access and export the report to CSV file.",anonymous links:10;anyone links:9;link activity audit:9;anonymous sharing:8;shareable links:7;guest links:7;link creation:6;sharing activity:6;link removal:5,Anonymous Link Activity Report,,,custom-icon-file-lens-medium,2
App Registrations with Expiring Certificates & Client Secrets,Security & Identity,Reporting,Learn how to get app registrations with expiring client secrets and certificates using PowerShell to avoid downtime & app risks.,expiring client secrets:10;app registration expiry:10;certificate expiry:9;client secret:8;app credentials:8;expiring certificates:8;service principal:6;app downtime:5,App Registrations with Expiring Certificates & Client Secrets,m365-icon-security svg-icon,2,custom-icon-solid-bar,1
Archive Mailbox Size Report,Exchange Online,Reporting,"The PowerShell script exports Office 365 archive mailbox size report to CSV file along with archive quota, archive status, archive name, unlimited archiving.",archive mailbox size:10;online archive:9;in-place archive:8;archive quota:8;archive status:7;mailbox archive report:7;unlimited archiving:6;auto-expanding archive:5;storage:4,Archive Mailbox Size Report,m365-icon-exchange svg-icon,3,,
Audit Compromised User Activities from a Specific Session,Security & Identity,Auditing,The script helps security teams rebuild the user's activity timeline by collecting session ID-based audit logs in a consistent and easy-to-analyze format.,compromised account:10;session id audit:9;user activity timeline:8;incident investigation:8;breach investigation:7;forensics:7;suspicious activity:6;security incident:6,Audit Compromised User Activities from a Specific Session,,,,
Audit DLP Rule Matches in M365,Security & Identity,Auditing,"Execute the PowerShell script to exclusively audit DLP policy matches across workloads like Exchange, SharePoint, OneDrive, and Teams.",DLP:10;data loss prevention:10;DLP rule match:9;DLP policy:8;sensitive data:7;policy match:6;Purview:6;compliance audit:5,Audit DLP Rule Matches in M365,,,,
Audit Email Deletion in Office 365,Exchange Online,Auditing,This PowerShell script helps to find who deleted email from the mailboxes and exports email deletion audit records to CSV file.,email deletion audit:10;who deleted email:9;deleted emails:9;hard delete:7;soft delete:7;message deletion:7;mailbox forensics:5,Audit Email Deletion in Office 365,,,,
Audit Entra App Operations,Security & Identity,Auditing,"This PowerShell script audits Microsoft Entra ID application operations such as app registration creation, permission changes, and deletions. It helps admins track who changed which app and when, strengthening app governance.",app registration audit:10;Entra app operations:9;app permission changes:8;app deletion:7;consent changes:7;service principal audit:6;app governance:6;who changed app:6,Audit Entra App Operations,,,,
Audit External User Activity,Security & Identity,Auditing,"The script helps to audit external user activities and identify suspicious incidents, which lead to sensitive data leakage, security threats, and attacks.",external user activity:10;guest activity:9;guest user audit:8;B2B activity:7;suspicious activity:6;external collaboration:5;data leakage:5,Audit External User Activity,,,,
Audit Failed Signin Attempts in Entra,Security & Identity,Auditing,Export all Microsoft 365 failed login attempts with PowerShell script to identify unauthorized access attempts and address potential security risks before they escalate.,failed sign-in:10;failed login:10;sign-in failures:9;unauthorized access attempts:7;brute force:6;login errors:6;sign-in error codes:5,Audit Failed Signin Attempts in Entra,,,,
